element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)													
In_d	-0.21663994 	-12.39972553 	-6.22329576 	-16.39874894 	-16.4825902 	-1.35170559 	 1.43959417999999 	 2.09552099999999 	 5.350729 	 2.01167973999999 	 5.43457026 	 3.44722658999999 	 3.36338532999999 			-1.35170559 	 2.79129976999999 	 0.65592682 	 2.82447900000001 				 2.33447900000001 	 2.82447900000001 	 1.71447900000001 	-1.71447900000001 
Ir	-1.50543178 	-13.09502037 	-9.05762171 	-17.57346071 	-17.61925019 	-0.75820859 	-0.105939929999999 	 2.20960106999999 	 5.23664892999999 	 2.16381158999999 	 5.28243840999999 	 2.96780965999999 	 2.92202017999999 			-0.75820859 	 0.652268660000001 	 2.31554099999999 	 2.71039893000001 				 2.22039893000001 	 2.71039893000001 	 1.60039893000001 	-1.60039893000001 
Mn_pv	-5.14992306 	-16.38613686 	-12.44479303 	-20.33166895 	-24.24257647 	-0.404833800000002 	 0.151380029999999 	 3.09588410999999 	 4.35036589 	-0.815023410000002 	 8.26127341 	 3.50071790999999 	-0.410189609999999 			-0.404833800000002 	 0.556213830000001 	 2.94450407999999 	 1.82411589000001 				 1.33411589000001 	 2.94450407999999 	 1.83450407999999 	-1.83450407999999 
Mo_sv	-4.64509058 	-16.31068135 	-12.57954174 	-20.45346169 	-20.54597279 	-0.83421077 	-0.48820116 	 2.46925888999999 	 4.97699111 	 2.37674778999999 	 5.06950221 	 3.30346965999999 	 3.21095855999999 			-0.83421077 	 0.34600961 	 2.95746004999999 	 2.45074111000001 				 1.96074111000001 	 2.95746004999999 	 1.84746004999999 	-1.84746004999999 
Nb_pv	-3.113323 	-15.82107807 	-12.58986552 	-25.61192598 	-25.61004847 	-1.87637507 	-2.03029252 	-4.22097297999999 	 11.6672229799999 	-4.21909546999999 	 11.6653454699999 	-2.34459790999999 	-2.34272039999999 			-1.87637507 	-0.15391745 	-2.19068045999999 	 9.14097297999999 				 8.65097297999999 	 9.14097297999999 	 8.03097297999999 	-8.03097297999999 
Ni	-0.63692054 	-12.30074871 	-7.5713164 	-16.59133044 	-16.49067371 	-0.832448170000001 	 0.511854139999999 	 2.32322009999999 	 5.1230299 	 2.42387682999999 	 5.02237317 	 3.15566826999999 	 3.256325 			-0.832448170000001 	 1.34430231 	 1.81136595999999 	 2.59677990000001 				 2.10677990000001 	 2.59677990000001 	 1.48677990000001 	-1.48677990000001 
Ni_pv	-0.62918064 	-12.30674522 	-7.59333627 	-16.60176223 	-16.50387886 	-0.846184580000001 	 0.482094369999998 	 2.30504840999999 	 5.14120159 	 2.40293177999999 	 5.04331822 	 3.15123299 	 3.24911635999999 			-0.846184580000001 	 1.32827895 	 1.82295403999999 	 2.61495159000001 				 2.12495159000001 	 2.61495159000001 	 1.50495159000001 	-1.50495159000001 
Os	-2.90630502 	-14.52500799 	-10.70637792 	-23.64250647 	-23.64164152 	-0.787322970000001 	-0.3538229 	-2.45857145 	 9.90482145 	-2.4577065 	 9.9039565 	-1.67124847999999 	-1.67038352999999 			-0.787322970000001 	 0.433500070000001 	-2.10474855 	 7.37857145 				 6.88857145 	 7.37857145 	 6.26857145 	-6.26857145 
Os_pv	-2.91197832 	-14.53476853 	-10.73674597 	-23.70141411 	-23.70001092 	-0.79141021 	-0.37851765 	-2.51180579 	 9.95805579 	-2.5104026 	 9.9566526 	-1.72039558 	-1.71899239 			-0.79141021 	 0.41289256 	-2.13328814 	 7.43180579 				 6.94180579 	 7.43180579 	 6.32180579 	-6.32180579 
Pb	-0.62274251 	-12.18772037 	-8.05659073 	-16.34126358 	-16.33910619 	-0.733597859999999 	 1.24017799999993E-02 	 2.55910892999999 	 4.88714107 	 2.56126631999999 	 4.88498367999999 	 3.29270678999999 	 3.29486417999999 			-0.733597859999999 	 0.745999639999998 	 2.54670714999999 	 2.36089107000001 				 1.87089107000001 	 2.54670714999999 	 1.43670714999999 	-1.43670714999999 
