element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)			-14.21651 	-6.77026 								
Ir	-1.50545454 	-13.12769313 	-9.07715708 	-17.62639858 	-17.67438339 	-0.79085859 	-0.12545254 	 2.15668595999999 	 5.28956404 	 2.10870114999999 	 5.33754884999999 	 2.94754454999999 	 2.89955973999999 			-0.79085859 	 0.66540605 	 2.28213849999999 	 2.76331404000001 			 2.27331404000001 	 2.76331404000001 	 1.65331404000001 	-1.65331404000001 
Mn_pv	-5.14995521 	-16.41303088 	-12.46031019 	-20.78977229 	-24.28970652 	-0.431695670000001 	 0.135895019999999 	 2.63781292 	 4.80843707999999 	-0.862121310000002 	 8.30837130999999 	 3.06950859 	-0.430425640000001 			-0.431695670000001 	 0.56759069 	 2.5019179 	 2.28218708 			 1.79218708 	 2.5019179 	 1.3919179 	-1.3919179 
Mo_sv	-4.64512466 	-16.34558154 	-12.60097643 	-20.50824072 	-20.60305463 	-0.869076880000001 	-0.50960177 	 2.41451393999999 	 5.03173606 	 2.31970003 	 5.12654996999999 	 3.28359082 	 3.18877691 			-0.869076880000001 	 0.359475110000001 	 2.92411570999999 	 2.50548606000001 			 2.01548606000001 	 2.92411570999999 	 1.81411570999999 	-1.81411570999999 
Nb_pv	-3.15195094 	-15.85660564 	-13.08549497 	-25.67055112 	-25.66870755 	-1.87327469999999 	-2.48729403 	-4.24097018 	 11.68722018 	-4.23912661 	 11.68537661 	-2.36769548 	-2.36585191 			-1.87327469999999 	-0.61401933000001 	-1.75367615 	 9.16097018 			 8.67097018 	 9.16097018 	 8.05097018 	-8.05097018 
Ni	-0.63694332 	-12.3276651 	-7.58691209 	-16.63592077 	-16.53815793 	-0.859341780000001 	 0.496281229999999 	 2.27865255 	 5.16759744999999 	 2.37641538999999 	 5.06983461 	 3.13799433 	 3.23575716999999 			-0.859341780000001 	 1.35562301 	 1.78237132 	 2.64134745 			 2.15134745 	 2.64134745 	 1.53134745 	-1.53134745 
Ni_pv	-0.62920352 	-12.3336457 	-7.60893409 	-16.64635678 	-16.55138185 	-0.873062179999999 	 0.466519429999999 	 2.26047673999999 	 5.18577326 	 2.35545167 	 5.09079832999999 	 3.13353891999999 	 3.22851385 			-0.873062179999999 	 1.33958161 	 1.79395730999999 	 2.65952326000001 			 2.16952326000001 	 2.65952326000001 	 1.54952326000001 	-1.54952326000001 
Pb	-0.62277271 	-12.22022734 	-8.07581257 	-16.3929347 	-16.39085704 	-0.76607463 	-6.78986000000136E-03 	 2.50746800999999 	 4.93878199 	 2.50954566999999 	 4.93670433 	 3.27354263999999 	 3.27562029999999 			-0.76607463 	 0.759284769999999 	 2.51425786999999 	 2.41253199000001 			 1.92253199000001 	 2.51425786999999 	 1.40425786999999 	-1.40425786999999 
Pd	-1.47431112 	-11.94803135 	-6.75351601 	-16.52866791 	-16.53053284 	 0.357659769999997 	 2.16704510999999 	 3.22327320999999 	 4.22297679 	 3.22140827999999 	 4.22484172 	 2.86561344 	 2.86374851 			 0.357659769999997 	 1.80938533999999 	 1.0562281 	 1.69672679000001 			 1.20672679000001 	 1.80938533999999 	 0.699385339999993 	-0.699385339999993 
Pd_pv	-1.49667174 	-11.95363559 	-6.75560361 	-16.36959613 	-16.53544002 	 0.37441615 	 2.18731812999999 	 3.40470560999999 	 4.04154439 	 3.23886171999999 	 4.20738828 	 3.03028945999999 	 2.86444556999999 			 0.37441615 	 1.81290197999999 	 1.21738748 	 1.51529439000001 			 1.02529439000001 	 1.81290197999999 	 0.70290197999999 	-0.70290197999999 
Pt	-0.55587826 	-11.90852535 	-7.50319807 	-16.38356772 	-16.39427353 	-0.52126709 	 0.498930189999999 	 2.44994054 	 4.99630945999999 	 2.43923472999999 	 5.00701527 	 2.97120763 	 2.96050181999999 			-0.52126709 	 1.02019728 	 1.95101035 	 2.47005946 			 1.98005946 	 2.47005946 	 1.36005946 	-1.36005946 
Pt_pv	-0.59602694 	-11.95441253 	-7.58125802 	-16.44023812 	-16.44899702 	-0.527005590000001 	 0.461018919999999 	 2.43341881999999 	 5.01283118 	 2.42465991999999 	 5.02159008 	 2.96042441 	 2.95166550999999 			-0.527005590000001 	 0.98802451 	 1.97239989999999 	 2.48658118000001 			 1.99658118000001 	 2.48658118000001 	 1.37658118000001 	-1.37658118000001 
Re	-4.60936517 	-16.11814093 	-12.31493922 	-25.27447168 	-25.52522634 	-0.677395759999999 	-0.25932405 	-2.38747651 	 9.83372651 	-2.63823117 	 10.08448117 	-1.71008075 	-1.96083541 			-0.677395759999999 	 0.418071709999999 	-2.12815246 	 7.30747651 			 6.81747651 	 7.30747651 	 6.19747651 	-6.19747651 
Rh	-1.2963337 	-12.88911809 	-8.69110198 	-17.42513143 	-17.45490351 	-0.76140439 	 5.14817199999999E-02 	 2.14883226999999 	 5.29741773 	 2.11906018999999 	 5.32718981 	 2.91023665999999 	 2.88046457999999 			-0.76140439 	 0.81288611 	 2.09735054999999 	 2.77116773000001 			 2.28116773000001 	 2.77116773000001 	 1.66116773000001 	-1.66116773000001 
Rh_pv	-1.49197846 	-12.87053936 	-8.69434762 	-17.42222167 	-17.4493395 	-0.5471809 	 0.243880839999999 	 2.34738679 	 5.09886320999999 	 2.32026895999999 	 5.12598104 	 2.89456769 	 2.86744985999999 			-0.5471809 	 0.791061739999999 	 2.10350595 	 2.57261321 			 2.08261321 	 2.57261321 	 1.46261321 	-1.46261321 
Ru	-2.47317037 	-13.89337418 	-10.14042338 	-18.53073937 	-21.92619123 	-0.588823810000001 	-0.22100301 	 2.22006099999999 	 5.226189 	-1.17539086 	 8.62164086 	 2.80888480999999 	-0.586567050000002 			-0.588823810000001 	 0.367820800000001 	 2.44106400999999 	 2.69993900000001 			 2.20993900000001 	 2.69993900000001 	 1.58993900000001 	-1.58993900000001 
Ru_pv	-2.47427946 	-13.9132073 	-10.16805344 	-18.55920271 	-21.95444984 	-0.60754784 	-0.24752398 	 2.19270674999999 	 5.25354325 	-1.20254037999999 	 8.64879038 	 2.80025458999999 	-0.594992539999998 			-0.60754784 	 0.36002386 	 2.44023072999999 	 2.72729325000001 			 2.23729325000001 	 2.72729325000001 	 1.61729325000001 	-1.61729325000001 
Ru_sv	-2.53612554 	-13.98871559 	-10.26486632 	-18.64670523 	-22.07466351 	-0.62121005 	-0.282490779999999 	 2.16705031 	 5.27919968999999 	-1.26090797 	 8.70715797 	 2.78826036 	-0.639697920000001 			-0.62121005 	 0.338719270000001 	 2.44954109 	 2.75294969 			 2.26294969 	 2.75294969 	 1.64294969 	-1.64294969 
Sb	-1.43056391 	-12.66539979 	-8.20556907 	-16.68370716 	-16.71090608 	-0.403455880000001 	 0.67124484 	 3.02448674999999 	 4.42176325 	 2.99728782999999 	 4.44896217 	 3.42794262999999 	 3.40074370999999 			-0.403455880000001 	 1.07470072 	 2.35324190999999 	 1.89551325000001 			 1.40551325000001 	 2.35324190999999 	 1.24324190999999 	-1.24324190999999 
Sc_sv	-2.03360523 	-15.30051989 	-11.84212572 	-24.54240336 	-24.54131413 	-2.43553466 	-2.36227049 	-4.23116813 	 11.67741813 	-4.2300789 	 11.6763289 	-1.79563347 	-1.79454424 			-2.43553466 	 7.32641700000003E-02 	-1.86889764 	 9.15116813 			 8.66116813 	 9.15116813 	 8.04116813 	-8.04116813 
Sn	-0.66982854 	-12.59217578 	-8.79129789 	-16.72972303 	-16.72901263 	-1.09096724 	-0.67521935 	 2.21773551 	 5.22851449 	 2.21844591 	 5.22780409 	 3.30870275 	 3.30941315 			-1.09096724 	 0.41574789 	 2.89295486 	 2.70226449 			 2.21226449 	 2.89295486 	 1.78295486 	-1.78295486 
