element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ir	-1.5054722 	-13.10322276 	-9.05798439 	-17.60329667 	-17.6599451 	-0.76637056 	-0.10626219 	 2.17980552999999 	 5.26644447 	 2.12315709999999 	 5.3230929 	 2.94617609 	 2.88952765999999 			-0.76637056 	 0.66010837 	 2.28606771999999 	 2.25019447000001 	 2.28606771999999 	 1.17606771999999 	-1.17606771999999 
Mn_pv	-5.14992843 	-16.39610389 	-12.44497886 	-20.77016102 	-24.2675172 	-0.41479546 	 0.151199569999998 	 2.65739740999999 	 4.78885259 	-0.839958770000002 	 8.28620877 	 3.07219286999999 	-0.425163310000002 			-0.41479546 	 0.565995029999998 	 2.50619783999999 	 1.77260259000001 	 2.50619783999999 	 1.39619783999999 	-1.39619783999999 
Mo_sv	-4.64510285 	-16.32828575 	-12.57980914 	-20.47873422 	-20.57405264 	-0.851802899999999 	-0.488456290000001 	 2.44399862999999 	 5.00225137 	 2.34868020999999 	 5.09756979 	 3.29580152999999 	 3.20048310999999 			-0.851802899999999 	 0.363346609999998 	 2.93245491999999 	 1.98600137000001 	 2.93245491999999 	 1.82245491999999 	-1.82245491999999 
Nb_pv	-3.15190337 	-15.8400713 	-13.06248321 	-25.64146703 	-25.64121332 	-1.85678793 	-2.46432984 	-4.21193366 	 11.65818366 	-4.21167995 	 11.65792995 	-2.35514573 	-2.35489201999999 			-1.85678793 	-0.60754191 	-1.74760382 	 8.64193366 	 8.64193366 	 7.53193366 	-7.53193366 
Ni	-0.63692585 	-12.30682185 	-7.57149442 	-16.60876698 	-16.52359634 	-0.838516 	 0.511681429999999 	 2.30578887 	 5.14046112999999 	 2.39095950999999 	 5.05529049 	 3.14430487 	 3.22947550999999 			-0.838516 	 1.35019743 	 1.79410744 	 2.12421113 	 2.12421113 	 1.01421113 	-1.01421113 
Ni_pv	-0.62918605 	-12.31257157 	-7.59351591 	-16.61913614 	-16.5365292 	-0.85200552 	 0.481920139999999 	 2.28767990999999 	 5.15857008999999 	 2.37028684999999 	 5.07596315 	 3.13968543 	 3.22229236999999 			-0.85200552 	 1.33392566 	 1.80575976999999 	 2.14232009000001 	 2.14232009000001 	 1.03232009000001 	-1.03232009000001 
Os	-2.90634544 	-14.53190994 	-10.70924693 	-23.670933 	-23.66945048 	-0.7941845 	-0.356651490000001 	-2.48695756 	 9.93320756 	-2.48547504 	 9.93172504 	-1.69277306 	-1.69129054 			-0.7941845 	 0.437533009999999 	-2.13030607 	 6.91695756 	 6.91695756 	 5.80695756 	-5.80695756 
Os_pv	-2.91201873 	-14.54293996 	-10.7371093 	-23.72925504 	-23.72782047 	-0.79954123 	-0.378840570000001 	-2.53960631 	 9.98585631 	-2.53817174 	 9.98442174 	-1.74006508 	-1.73863051 			-0.79954123 	 0.420700659999999 	-2.16076574 	 6.96960631 	 6.96960631 	 5.85960631 	-5.85960631 
Pb	-0.62277394 	-12.19633351 	-8.05691344 	-16.36253224 	-16.35775344 	-0.742179570000001 	 1.21104999999985E-02 	 2.53787169999999 	 4.9083783 	 2.54265049999999 	 4.9035995 	 3.28005126999999 	 3.28483007 			-0.742179570000001 	 0.754290069999999 	 2.52576119999999 	 1.89212830000001 	 2.52576119999999 	 1.41576119999999 	-1.41576119999999 
Pd	-1.47429912 	-11.92846649 	-6.73461661 	-16.50339215 	-16.50484702 	 0.377212629999998 	 2.18593250999999 	 3.24853696999999 	 4.19771303 	 3.24708209999999 	 4.1991679 	 2.87132433999999 	 2.86986946999999 			 0.377212629999998 	 1.80871987999999 	 1.06260446 	 1.18146303000001 	 1.80871987999999 	 0.698719879999992 	-0.698719879999992 
Pd_pv	-1.49665975 	-11.93410647 	-6.73670223 	-16.34580088 	-16.51051102 	 0.393933279999998 	 2.20620751999999 	 3.42848886999999 	 4.01776113 	 3.26377872999999 	 4.18247127 	 3.03455559 	 2.86984544999999 			 0.393933279999998 	 1.81227423999999 	 1.22228135 	 1.00151113000001 	 1.81227423999999 	 0.702274239999992 	-0.702274239999992 
Pt	-0.555903 	-11.88403508 	-7.48490602 	-16.36150363 	-16.379065 	-0.49675208 	 0.517246979999998 	 2.47202936999999 	 4.97422063 	 2.45446799999999 	 4.991782 	 2.96878144999999 	 2.95122007999999 			-0.49675208 	 1.01399906 	 1.95478238999999 	 1.95797063000001 	 1.95797063000001 	 0.84797063000001 	-0.84797063000001 
Pt_pv	-0.59605168 	-11.92980628 	-7.5629603 	-16.41806334 	-16.43280847 	-0.502374599999999 	 0.479341379999999 	 2.45561833999999 	 4.99063166 	 2.44087320999999 	 5.00537679 	 2.95799293999999 	 2.94324780999999 			-0.502374599999999 	 0.981715979999998 	 1.97627695999999 	 1.97438166000001 	 1.97627695999999 	 0.866276959999991 	-0.866276959999991 
Re	-4.6093714 	-16.09581467 	-12.29620212 	-25.50024504 	-25.49920118 	-0.655063269999999 	-0.240580720000001 	-2.61324364 	 10.05949364 	-2.61219978 	 10.05844978 	-1.95818037 	-1.95713651 			-0.655063269999999 	 0.414482549999998 	-2.37266292 	 7.04324364 	 7.04324364 	 5.93324364 	-5.93324364 
Rh	-1.29631745 	-12.86848159 	-8.67109666 	-17.39891141 	-17.43037834 	-0.74078414 	 7.14707899999993E-02 	 2.17503603999999 	 5.27121396 	 2.14356910999999 	 5.30268089 	 2.91582017999999 	 2.88435324999999 			-0.74078414 	 0.812254929999999 	 2.10356524999999 	 2.25496396000001 	 2.25496396000001 	 1.14496396000001 	-1.14496396000001 
Rh_pv	-1.49196221 	-12.84998462 	-8.6743421 	-17.39610735 	-17.42474764 	-0.52664241 	 0.263870109999999 	 2.37348485999999 	 5.07276514 	 2.34484456999999 	 5.10140543 	 2.90012726999999 	 2.87148698 			-0.52664241 	 0.790512519999999 	 2.10961474999999 	 2.05651514000001 	 2.10961474999999 	 0.999614749999991 	-0.999614749999991 
Ru	-2.47315868 	-13.87478031 	-10.12098981 	-18.50425792 	-21.89177451 	-0.570241630000001 	-0.20158113 	 2.24653075999999 	 5.19971924 	-1.14098583 	 8.58723583 	 2.81677239 	-0.5707442 			-0.570241630000001 	 0.368660500000001 	 2.44811188999999 	 2.18346924000001 	 2.44811188999999 	 1.33811188999999 	-1.33811188999999 
Ru_pv	-2.47426778 	-13.89456483 	-10.14861846 	-18.53268474 	-21.91870618 	-0.58891705 	-0.22810068 	 2.21921303999999 	 5.22703696 	-1.1668084 	 8.6130584 	 2.80813008999999 	-0.577891350000003 			-0.58891705 	 0.36081637 	 2.44731371999999 	 2.21078696000001 	 2.44731371999999 	 1.33731371999999 	-1.33731371999999 
Ru_sv	-2.53611386 	-13.96999902 	-10.24542725 	-18.62011472 	-22.37624764 	-0.602505159999999 	-0.263063390000001 	 2.19362913999999 	 5.25262086 	-1.56250378 	 9.00875378 	 2.79613429999999 	-0.95999862 			-0.602505159999999 	 0.339441769999998 	 2.45669252999999 	 2.23637086000001 	 2.45669252999999 	 1.34669252999999 	-1.34669252999999 
Sb	-1.43056326 	-12.63729446 	-8.18539633 	-16.64567809 	-16.67462808 	-0.3753512 	 0.691416929999999 	 3.06251516999999 	 4.38373483 	 3.03356517999999 	 4.41268482 	 3.43786636999999 	 3.40891637999999 			-0.3753512 	 1.06676813 	 2.37109823999999 	 1.36748483000001 	 2.37109823999999 	 1.26109823999999 	-1.26109823999999 
Sc_sv	-2.03354883 	-15.29012617 	-11.82466134 	-24.52248405 	-24.52250997 	-2.42519734 	-2.34486251 	-4.21130522 	 11.6575552199999 	-4.21133114 	 11.65758114 	-1.78610787999999 	-1.7861338 			-2.42519734 	 0.08033483 	-1.86644271 	 8.64130522 	 8.64130522 	 7.53130522 	-7.53130522 
Sn	-0.66982249 	-12.56957343 	-8.77185125 	-16.70016218 	-16.69969476 	-1.06837094 	-0.65577876 	 2.24729031 	 5.19895969 	 2.24775773 	 5.19849227 	 3.31566125 	 3.31612867 			-1.06837094 	 0.41259218 	 2.90306907 	 2.18270969 	 2.90306907 	 1.79306907 	-1.79306907 
Sn_d	-0.699533 	-12.57875396 	-8.76107679 	-16.70683888 	-16.703377 	-1.04784096 	-0.61529379 	 2.27032411999999 	 5.17592587999999 	 2.27378599999999 	 5.172464 	 3.31816507999999 	 3.32162695999999 			-1.04784096 	 0.43254717 	 2.88561790999999 	 2.15967588000001 	 2.88561790999999 	 1.77561790999999 	-1.77561790999999 
Sr_sv	-0.02811863 	-12.12299798 	-6.89615353 	-16.30790262 	-16.30834251 	-1.26349935 	 0.578215099999998 	 1.99784601 	 5.44840399 	 1.99740612 	 5.44884388 	 3.26134536 	 3.26090547 			-1.26349935 	 1.84171445 	 1.41963091 	 2.43215399 	 2.43215399 	 1.32215399 	-1.32215399 
Ta	-3.48647912 	-16.76257676 	-14.30963432 	-27.53205175 	-27.52972735 	-2.44471764 	-3.3769052 	-5.76794263 	 13.21419263 	-5.76561823 	 13.21186823 	-3.32322499 	-3.32090059 			-2.44471764 	-0.93218756 	-2.39103743 	 10.19794263 	 10.19794263 	 9.08794263 	-9.08794263 
Tc_pv	-3.35113687 	-15.08740892 	-11.63114858 	-24.12760427 	-24.12586817 	-0.90489205 	-0.833761710000001 	-2.49883739999999 	 9.94508739999999 	-2.4971013 	 9.9433513 	-1.59394534999999 	-1.59220924999999 			-0.90489205 	 0.071130339999999 	-1.66507568999999 	 6.92883739999999 	 6.92883739999999 	 5.81883739999999 	-5.81883739999999 
Ti	-2.45019648 	-15.31391272 	-12.04440787 	-24.8643813 	-24.86261399 	-2.03233623999999 	-2.14796139 	-4.13655482 	 11.58280482 	-4.13478751 	 11.58103751 	-2.10421858 	-2.10245127 			-2.03233623999999 	-0.11562515000001 	-1.98859343 	 8.56655482 	 8.56655482 	 7.45655482 	-7.45655482 
Ti_pv	-2.51381045 	-15.41345432 	-12.34084153 	-25.21677305 	-25.21559929 	-2.06826387 	-2.38078108 	-4.4253326 	 11.8715826 	-4.42415884 	 11.87040884 	-2.35706873 	-2.35589496999999 			-2.06826387 	-0.31251721 	-2.04455152 	 8.8553326 	 8.8553326 	 7.7453326 	-7.7453326 
Ti_sv	-2.39919156 	-15.4463772 	-12.40347924 	-25.30336249 	-25.2984937 	-2.21580564 	-2.55803768 	-4.62654093 	 12.07279093 	-4.62167214 	 12.06792214 	-2.41073529 	-2.4058665 			-2.21580564 	-0.34223204 	-2.06850325 	 9.05654093 	 9.05654093 	 7.94654093 	-7.94654093 
V_sv	-3.59545324 	-16.13916369 	-12.85313617 	-25.37429443 	-25.37357307 	-1.71233045 	-1.81143293 	-3.50121118999999 	 10.9474611899999 	-3.50048982999999 	 10.9467398299999 	-1.78888073999999 	-1.78815937999999 			-1.71233045 	-0.09910248 	-1.68977825999999 	 7.93121118999999 	 7.93121118999999 	 6.82121118999999 	-6.82121118999999 
W_sv	-4.57144145 	-16.56951297 	-14.04015526 	-26.65098845 	-26.96480637 	-1.16669152 	-2.02246381 	-3.80191699999999 	 11.2481669999999 	-4.11573492 	 11.56198492 	-2.63522547999999 	-2.9490434 			-1.16669152 	-0.85577229 	-1.77945318999999 	 8.23191699999999 	 8.23191699999999 	 7.12191699999999 	-7.12191699999999 
Y_sv	-2.15744893 	-15.86466242 	-12.0533116 	-24.57919648 	-24.5799553 	-2.87583349 	-2.44961267 	-4.14411755 	 11.59036755 	-4.14487637 	 11.59112637 	-1.26828405999999 	-1.26904288 			-2.87583349 	 0.42622082 	-1.69450488 	 8.57411755 	 8.57411755 	 7.46411755 	-7.46411755 
Zn	-0.01073835 	-9.72214093 	-3.80217635 	-13.6960532 	-13.85049162 	 1.11997741999999 	 3.65481199999999 	 4.59231514999999 	 2.85393485 	 4.43787672999999 	 3.00837327 	 3.47233772999999 	 3.31789930999999 			 1.11997741999999 	 2.53483458 	 0.93750315 	-0.162315149999991 	 2.53483458 	 1.42483458 	-1.42483458 
Zr_sv	-2.24446641 	-15.67770997 	-12.84081563 	-26.06925793 	-26.0697956 	-2.60186356 	-3.15009922 	-5.54716151999999 	 12.9934115199999 	-5.54769918999999 	 12.9939491899999 	-2.94529795999999 	-2.94583562999999 			-2.60186356 	-0.54823566 	-2.39706229999999 	 9.97716151999999 	 9.97716151999999 	 8.86716151999999 	-8.86716151999999 
