element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO_HO(eV)	delta_E_HOO2_HO(eV)									
Ag	-0.19846858 	-10.53861252 	-4.48626772 	-14.74446817 	-14.74371198 	 0.49123606 	 3.15845085999999 	 3.73163040999999 	 3.71461959 	 3.73238659999999 	 3.7138634 	 3.24039434999999 	 3.24115053999999 			 0.49123606 	 2.66721479999999 	 0.57317955 	 0.69836959000001 	 2.66721479999999 	 1.55721479999999 	-1.55721479999999 
Au	-0.18515154 	-10.54735392 	-4.83273761 	-14.56986046 	-14.85611376 	 0.469177619999998 	 2.79866392999999 	 3.89292107999999 	 3.55332892 	 3.60666777999999 	 3.83958222 	 3.42374346 	 3.13749016 			 0.469177619999998 	 2.32948630999999 	 1.09425715 	 0.53707892000001 	 2.32948630999999 	 1.21948630999999 	-1.21948630999999 
Bi	-0.08407859 	-11.70880908 	-7.41839844 	-15.95431716 	-15.89357176 	-0.793350489999999 	 0.111930149999999 	 2.40739142999999 	 5.03885857 	 2.46813682999999 	 4.97811317 	 3.20074191999999 	 3.26148731999999 			-0.793350489999999 	 0.905280639999998 	 2.29546127999999 	 2.02260857000001 	 2.29546127999999 	 1.18546127999999 	-1.18546127999999 
Cd	-0.01340774 	-9.16234088 	-3.23679286 	-13.29188874 	-13.52889936 	 1.68244685999999 	 4.22286487999999 	 4.99914899999999 	 2.447101 	 4.76213837999999 	 2.68411162 	 3.31670214 	 3.07969151999999 			 1.68244685999999 	 2.54041802 	 0.776284120000001 	-0.569148999999991 	 2.54041802 	 1.43041802 	-1.43041802 
Co_2	-1.1240621 	-12.49031347 	-7.58326662 	-16.59380333 	-16.66364142 	-0.534871370000001 	 0.987045479999999 	 2.80788876999999 	 4.63836123 	 2.73805067999999 	 4.70819932 	 3.34276013999999 	 3.27292204999999 			-0.534871370000001 	 1.52191685 	 1.82084328999999 	 1.62211123000001 	 1.82084328999999 	 0.710843289999991 	-0.710843289999991 
Co_pv_2	-1.18067378 	-12.4773099 	-7.56754121 	-16.57785296 	-16.64892557 	-0.465256120000001 	 1.05938256999999 	 2.88045081999999 	 4.56579918 	 2.80937820999999 	 4.63687179 	 3.34570693999999 	 3.27463432999999 			-0.465256120000001 	 1.52463868999999 	 1.82106825 	 1.54954918000001 	 1.82106825 	 0.71106825 	-0.71106825 
Co_sv_2	-0.82711864 	-12.04214495 	-7.17751161 	-16.1550299 	-16.21982266 	-0.383646310000001 	 1.09585702999999 	 2.94971874 	 4.49653125999999 	 2.88492598 	 4.56132401999999 	 3.33336505 	 3.26857229 			-0.383646310000001 	 1.47950333999999 	 1.85386171000001 	 1.48028126 	 1.85386171000001 	 0.74386171000001 	-0.74386171000001 
Cr_pv_4	-4.53344385 	-15.80330499 	-10.68220096 	-19.91549169 	-20.02571389 	-0.43848114 	 1.29749289 	 2.89558216 	 4.55066783999999 	 2.78535996 	 4.66089003999999 	 3.3340633 	 3.2238411 			-0.43848114 	 1.73597403 	 1.59808927 	 1.53441784 	 1.73597403 	 0.62597403 	-0.62597403 
Cu	 1.02442147 	-10.2224871 	-3.85516436 	-14.26993588 	-14.37722398 	-0.415528570000001 	 2.56666416999999 	 2.98327264999999 	 4.46297735 	 2.87598454999999 	 4.57026545 	 3.39880121999999 	 3.29151311999999 			-0.415528570000001 	 2.98219273999999 	 0.41660848 	 1.44672735000001 	 2.98219273999999 	 1.87219273999999 	-1.87219273999999 
Fe	-3.31683198 	-14.94764285 	-10.73642258 	-18.93855998 	-22.38463102 	-0.79943087 	 2.66593999999997E-02 	 2.65590199999999 	 4.790348 	-0.790169040000002 	 8.23641904 	 3.45533286999999 	 9.26182999999802E-03 			-0.79943087 	 0.82609027 	 2.62924259999999 	 1.77409800000001 	 2.62924259999999 	 1.51924259999999 	-1.51924259999999 
Fe_pv	-3.2225348 	-14.79845273 	-10.6876196 	-18.83948692 	-22.39030326 	-0.744537929999999 	-1.88348000000004E-02 	 2.66067787999999 	 4.78557212 	-0.890138459999999 	 8.33638846 	 3.40521580999999 	-0.145600529999999 			-0.744537929999999 	 0.725703129999999 	 2.67951267999999 	 1.76932212000001 	 2.67951267999999 	 1.56951267999999 	-1.56951267999999 
Fe_sv	-3.25753309 	-14.95098856 	-10.79556993 	-22.5263099 	-22.51778372 	-0.86207547 	-9.17868400000001E-02 	-0.991146810000003 	 8.43739681 	-0.982620630000003 	 8.42887063 	-0.129071340000002 	-0.120545160000002 			-0.86207547 	 0.77028863 	-0.899359970000003 	 5.42114681 	 5.42114681 	 4.31114681 	-4.31114681 
Ga	-0.05634861 	-12.94206771 	-6.49170476 	-16.90796283 	-17.02313381 	-2.0543391 	 1.01089384999999 	 1.42601578 	 6.02023421999999 	 1.31084479999999 	 6.1354052 	 3.48035488 	 3.36518389999999 			-2.0543391 	 3.06523294999999 	 0.41512193000001 	 3.00398422 	 3.06523294999999 	 1.95523294999999 	-1.95523294999999 
Hf	-2.70594512 	-16.86637374 	-14.50762748 	-27.01716393 	-27.01791551 	-3.32904862 	-4.35543236 	-6.03358881 	 13.47983881 	-6.03434039 	 13.48059039 	-2.70454018999999 	-2.70529177 			-3.32904862 	-1.02638374 	-1.67815645 	 10.46358881 	 10.46358881 	 9.35358881 	-9.35358881 
Hg	-0.01132788 	-8.35342673 	-2.46677192 	-13.06819528 	-13.06807819 	 2.48928114999999 	 4.99080595999999 	 5.22076259999999 	 2.2254874 	 5.22087968999999 	 2.22537031 	 2.73148145 	 2.73159854 			 2.48928114999999 	 2.50152481 	 0.22995664 	-0.79076259999999 	 2.50152481 	 1.39152481 	-1.39152481 
