element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Mn_pv	-0.31409671 	-13.12577151 	-9.7279783 	-22.64374389 	-22.64246045 	-1.9802948 	-1.96763159 	-4.05201718 	 11.49826718 	-4.05073374 	 11.49698374 	-2.07172237999999 	-2.07043894 			-1.9802948 	 1.26632099999999E-02 	-2.08438559 	 8.48201718 	 8.48201718 	 7.37201718 	-7.37201718 
Mo_sv	-0.26025103 	-13.65382086 	-11.45505163 	-24.41081936 	-24.42293012 	-2.56218983 	-3.7485506 	-5.87293833 	 13.31918833 	-5.88504909 	 13.33129909 	-3.3107485 	-3.32285926 			-2.56218983 	-1.18636077 	-2.12438773 	 10.30293833 	 10.30293833 	 9.19293833 	-9.19293833 
Nb_pv	-0.66148721 	-14.26191818 	-11.78820069 	-25.14531525 	-25.14640175 	-2.76905097 	-3.68046348 	-6.20619804 	 13.65244804 	-6.20728454 	 13.6535345399999 	-3.43714707 	-3.43823356999999 			-2.76905097 	-0.91141251 	-2.52573456 	 10.63619804 	 10.63619804 	 9.52619804 	-9.52619804 
Ni	-0.09924938 	-11.97897408 	-6.76233277 	-16.3296253 	-16.32877205 	-1.0483447 	 0.783166609999998 	 2.04725407999999 	 5.39899592 	 2.04810732999999 	 5.39814267 	 3.09559877999999 	 3.09645202999999 			-1.0483447 	 1.83151131 	 1.26408746999999 	 2.38274592000001 	 2.38274592000001 	 1.27274592000001 	-1.27274592000001 
Ni_pv	-0.09600507 	-11.99904744 	-6.79551524 	-16.34918473 	-16.25527413 	-1.07166237 	 0.746739829999999 	 2.02445033999999 	 5.42179966 	 2.11836093999999 	 5.32788906 	 3.09611270999999 	 3.19002330999999 			-1.07166237 	 1.8184022 	 1.27771050999999 	 2.40554966000001 	 2.40554966000001 	 1.29554966000001 	-1.29554966000001 
Os	-0.45569507 	-13.23332385 	-10.36536643 	-18.60360116 	-23.38868301 	-1.94624878 	-2.46342136 	 0.129723909999999 	 7.31652609 	-4.65535794 	 12.10160794 	 2.07597269 	-2.70910916 			-1.94624878 	-0.51717258 	 2.59314527 	 4.30027609 	 4.30027609 	 3.19027609 	-3.19027609 
Os_pv	-0.47098718 	-13.27638323 	-10.50244894 	-18.68462519 	-23.44237679 	-1.97401605 	-2.58521176 	 6.39919900000016E-02 	 7.38225800999999 	-4.69375961 	 12.14000961 	 2.03800804 	-2.71974355999999 			-1.97401605 	-0.61119571 	 2.64920375 	 4.36600801 	 4.36600801 	 3.25600801 	-3.25600801 
Pb	-0.07346842 	-11.97502198 	-8.07581249 	-16.15840841 	-16.1571906 	-1.07017356 	-0.556094070000002 	 2.19269000999999 	 5.25355999 	 2.19390781999999 	 5.25234218 	 3.26286357 	 3.26408138 			-1.07017356 	 0.514079489999998 	 2.74878407999999 	 2.23730999000001 	 2.74878407999999 	 1.63878407999999 	-1.63878407999999 
Pd	-1.47431107 	-11.77457439 	-6.1076627 	-16.19830822 	-16.38532734 	 0.53111668 	 2.81289836999999 	 3.55363284999999 	 3.89261715 	 3.36661372999999 	 4.07963627 	 3.02251616999999 	 2.83549704999999 			 0.53111668 	 2.28178168999999 	 0.74073448 	 0.87636715000001 	 2.28178168999999 	 1.17178168999999 	-1.17178168999999 
Pd_pv	-1.49667175 	-11.77749319 	-6.10858227 	-16.20141851 	-16.38876707 	 0.550558559999998 	 2.83433947999999 	 3.57288323999999 	 3.87336675999999 	 3.38553467999999 	 4.06071532 	 3.02232468 	 2.83497612 			 0.550558559999998 	 2.28378091999999 	 0.73854376 	 0.85711676000001 	 2.28378091999999 	 1.17378091999999 	-1.17378091999999 
