element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Mn_pv	-5.14995509 	-16.39222038 	-12.44484036 	-20.75803853 	-24.26266427 	-0.410885290000003 	 0.151364729999998 	 2.66954655999999 	 4.77670344 	-0.835079180000001 	 8.28132918 	 3.08043185 	-0.424193889999997 			-0.410885290000003 	 0.562250020000001 	 2.51818182999999 	 1.76045344000001 	 2.51818182999999 	 1.40818182999999 	-1.40818182999999 
Mo_sv	-4.64512452 	-16.31209675 	-12.57970593 	-20.46679834 	-20.5573793 	-0.835592229999999 	-0.488331409999999 	 2.45595617999999 	 4.99029382 	 2.36537521999999 	 5.08087478 	 3.29154840999999 	 3.20096744999999 			-0.835592229999999 	 0.34726082 	 2.94428758999999 	 1.97404382000001 	 2.94428758999999 	 1.83428758999999 	-1.83428758999999 
Nb_pv	-3.15195066 	-15.82237212 	-13.06237883 	-25.62017157 	-25.61897476 	-1.83904146 	-2.46417817 	-4.19059091 	 11.63684091 	-4.1893941 	 11.6356441 	-2.35154945 	-2.35035264 			-1.83904146 	-0.62513671 	-1.72641274 	 8.62059091 	 8.62059091 	 7.51059091 	-7.51059091 
Ni	-0.63694325 	-12.30712476 	-7.57137125 	-16.60443595 	-16.51079672 	-0.838801510000001 	 0.511821999999998 	 2.31013729999999 	 5.1361127 	 2.40377653 	 5.04247346999999 	 3.14893881 	 3.24257804 			-0.838801510000001 	 1.35062351 	 1.79831529999999 	 2.11986270000001 	 2.11986270000001 	 1.00986270000001 	-1.00986270000001 
Ni_pv	-0.62920345 	-12.31267753 	-7.5933919 	-16.61480358 	-16.52319939 	-0.85209408 	 0.482061549999999 	 2.29202986999999 	 5.15422013 	 2.38363406 	 5.06261593999999 	 3.14412394999999 	 3.23572814 			-0.85209408 	 1.33415563 	 1.80996831999999 	 2.13797013000001 	 2.13797013000001 	 1.02797013000001 	-1.02797013000001 
Os	-2.90633246 	-14.52793995 	-10.7089775 	-23.65673937 	-23.65558472 	-0.790227490000001 	-0.35639504 	-2.47277691 	 9.91902691 	-2.47162226 	 9.91787226 	-1.68254942 	-1.68139476999999 			-0.790227490000001 	 0.433832450000001 	-2.11638187 	 6.90277691 	 6.90277691 	 5.79277691 	-5.79277691 
Os_pv	-2.91200575 	-14.53894128 	-10.7368425 	-23.7149109 	-23.71337698 	-0.795555529999999 	-0.37858675 	-2.52527515 	 9.97152515 	-2.52374123 	 9.96999123 	-1.72971962 	-1.7281857 			-0.795555529999999 	 0.416968779999999 	-2.1466884 	 6.95527515 	 6.95527515 	 5.84527515 	-5.84527515 
Pb	-0.62277255 	-12.18948679 	-8.05691135 	-16.35617043 	-16.35437613 	-0.73533424 	 1.21111999999987E-02 	 2.54423212 	 4.90201787999999 	 2.54602642 	 4.90022357999999 	 3.27956636 	 3.28136066 			-0.73533424 	 0.747445439999999 	 2.53212092 	 1.88576788 	 2.53212092 	 1.42212092 	-1.42212092 
Pd	-1.47431103 	-11.91774692 	-6.73471657 	-16.49491326 	-16.49678839 	 0.387944109999999 	 2.18584445999999 	 3.25702776999999 	 4.18922223 	 3.25515263999999 	 4.19109736 	 2.86908365999999 	 2.86720852999999 			 0.387944109999999 	 1.79790034999999 	 1.07118331 	 1.17297223000001 	 1.79790034999999 	 0.687900349999991 	-0.687900349999991 
Pd_pv	-1.49667166 	-11.92335662 	-6.73681043 	-16.34047165 	-16.50161221 	 0.40469504 	 2.20611122999999 	 3.43383000999999 	 4.01241999 	 3.27268944999999 	 4.17356055 	 3.02913496999999 	 2.86799440999999 			 0.40469504 	 1.80141618999999 	 1.22771878 	 0.99616999000001 	 1.80141618999999 	 0.69141618999999 	-0.69141618999999 
