element	E_M	E_HO	E_O	E_HOO	E_HOO2	ΔE1(eV)	ΔE2(eV)	ΔE3_HOO(eV)	ΔE4_HOO(eV)	ΔE3_HOO2(eV)	ΔE4_HOO2(eV)	ΔE_HOO−HO(eV)	ΔE_HOO2−HO(eV)									
Ir	-1.50545435 	-13.1273841 	-9.07610025 	-17.62635827 	-17.67409515 	-0.79054975 	-0.1243959 	 2.15672607999999 	 5.28952392 	 2.1089892 	 5.33726079999999 	 2.94727582999999 	 2.89953895 			-0.79054975 	 0.66615385 	 2.28112197999999 	 2.27327392000001 	 2.28112197999999 	 1.17112197999999 	-1.17112197999999 
Mn_pv	-5.14995503 	-16.41248284 	-11.75493285 	-20.78973933 	-24.29233778 	-0.431147809999998 	 0.841272179999999 	 2.63784569999999 	 4.80840429999999 	-0.864752750000001 	 8.31100275 	 3.06899350999999 	-0.433604940000002 			-0.431147809999998 	 1.27241999 	 1.79657351999999 	 1.79215430000001 	 1.79657351999999 	 0.686573519999991 	-0.686573519999991 
Mo_sv	-4.64512376 	-16.34506551 	-12.59957851 	-20.50798421 	-20.6024729 	-0.868561750000001 	-0.508204750000001 	 2.41476954999999 	 5.03148045 	 2.32028086 	 5.12596913999999 	 3.2833313 	 3.18884261 			-0.868561750000001 	 0.360357 	 2.92297429999999 	 2.01523045000001 	 2.92297429999999 	 1.81297429999999 	-1.81297429999999 
Nb_pv	-3.15195038 	-15.85632029 	-13.08342792 	-25.66912267 	-25.66797792 	-1.87298990999999 	-2.48522754 	-4.23954229 	 11.68579229 	-4.23839754 	 11.68464754 	-2.36655238 	-2.36540763 			-1.87298990999999 	-0.61223763000001 	-1.75431475 	 8.66954229 	 8.66954229 	 7.55954229 	-7.55954229 
Ni	-0.63694317 	-12.32666737 	-5.17669378 	-16.63566043 	-16.53626276 	-0.858344199999999 	 2.90649938999999 	 2.27891273999999 	 5.16733726 	 2.37831040999999 	 5.06793959 	 3.13725693999999 	 3.23665460999999 			-0.858344199999999 	 3.76484358999999 	-0.62758665 	 2.15108726000001 	 3.76484358999999 	 2.65484358999999 	-2.65484358999999 
Ni_pv	-0.62920288 	-12.33211143 	-7.60662783 	-16.64610809 	-16.54944373 	-0.87152855 	 0.468825049999999 	 2.26072479 	 5.18552521 	 2.35738914999999 	 5.08886085 	 3.13225334 	 3.22891769999999 			-0.87152855 	 1.3403536 	 1.79189974 	 2.16927521 	 2.16927521 	 1.05927521 	-1.05927521 
Os	-2.90361182 	-14.55492714 	-10.7264534 	-23.69312125 	-23.6916433 	-0.81993532 	-0.376591580000001 	-2.51187943 	 9.95812943 	-2.51040148 	 9.95665147999999 	-1.69194411 	-1.69046616 			-0.81993532 	 0.443343739999999 	-2.13528785 	 6.94187943 	 6.94187943 	 5.83187943 	-5.83187943 
Os_pv	-2.90740022 	-14.56593482 	-10.75436172 	-23.7520031 	-23.75032738 	-0.827154600000001 	-0.400711500000001 	-2.56697288 	 10.01322288 	-2.56529716 	 10.01154716 	-1.73981827999999 	-1.73814256 			-0.827154600000001 	 0.4264431 	-2.16626138 	 6.99697288 	 6.99697288 	 5.88697288 	-5.88697288 
Pb	-0.62277261 	-12.21939955 	-8.07220807 	-16.39248695 	-16.39108619 	-0.76524694 	-3.18546000000097E-03 	 2.50791566 	 4.93833433999999 	 2.50931641999999 	 4.93693358 	 3.2731626 	 3.27456336 			-0.76524694 	 0.762061479999999 	 2.51110112 	 1.92208434 	 2.51110112 	 1.40110112 	-1.40110112 
Pd	-1.47431104 	-11.94667335 	-6.75163819 	-16.52719657 	-16.52945525 	 0.359017689999999 	 2.16892284999999 	 3.22474446999999 	 4.22150553 	 3.22248578999999 	 4.22376421 	 2.86572677999999 	 2.86346809999999 			 0.359017689999999 	 1.80990515999999 	 1.05582162 	 1.20525553000001 	 1.80990515999999 	 0.699905159999991 	-0.699905159999991 
Pd_pv	-1.49667174 	-11.95227916 	-6.75373535 	-16.36956307 	-16.53433432 	 0.375772579999999 	 2.18918638999999 	 3.40473866999999 	 4.04151133 	 3.23996741999999 	 4.20628258 	 3.02896608999999 	 2.86419483999999 			 0.375772579999999 	 1.81341380999999 	 1.21555228 	 1.02526133000001 	 1.81341380999999 	 0.703413809999991 	-0.703413809999991 
Pt	-0.55587812 	-11.90816315 	-7.50227321 	-16.38355018 	-16.39334106 	-0.520905030000001 	 0.499854909999998 	 2.44995793999999 	 4.99629206 	 2.44016705999999 	 5.00608294 	 2.97086296999999 	 2.96107208999999 			-0.520905030000001 	 1.02075994 	 1.95010302999999 	 1.98004206000001 	 1.98004206000001 	 0.87004206000001 	-0.87004206000001 
Pt_pv	-0.59602682 	-11.95408598 	-7.58037326 	-16.44020406 	-16.44840709 	-0.52667916 	 0.461903559999998 	 2.43345275999999 	 5.01279723999999 	 2.42524972999999 	 5.02100027 	 2.96013192 	 2.95192888999999 			-0.52667916 	 0.988582719999998 	 1.97154919999999 	 1.99654724000001 	 1.99654724000001 	 0.88654724000001 	-0.88654724000001 
Re	-4.60936476 	-16.11789453 	-12.31345016 	-25.52760425 	-25.52433817 	-0.677149770000001 	-0.257835400000001 	-2.64060948999999 	 10.08685949 	-2.63734341 	 10.08359341 	-1.96345971999999 	-1.96019364 			-0.677149770000001 	 0.41931437 	-2.38277408999999 	 7.07060948999999 	 7.07060948999999 	 5.96060948999999 	-5.96060948999999 
Rh	-1.29633339 	-12.88821439 	-8.68930234 	-17.42475406 	-17.45413071 	-0.760501000000001 	 5.32810499999998E-02 	 2.14920932999999 	 5.29704067 	 2.11983267999999 	 5.32641732 	 2.90971032999999 	 2.88033367999999 			-0.760501000000001 	 0.813782050000001 	 2.09592827999999 	 2.28079067000001 	 2.28079067000001 	 1.17079067000001 	-1.17079067000001 
Rh_pv	-1.49197819 	-12.86967905 	-8.69260089 	-17.42186445 	-17.44955391 	-0.546320860000001 	 0.245627299999999 	 2.34774373999999 	 5.09850626 	 2.32005427999999 	 5.12619572 	 2.89406459999999 	 2.86637514 			-0.546320860000001 	 0.79194816 	 2.10211643999999 	 2.08225626000001 	 2.10211643999999 	 0.992116439999991 	-0.992116439999991 
Ru	-2.47081306 	-13.89255973 	-10.13855137 	-18.52926801 	-21.92648891 	-0.590366670000001 	-0.221488310000001 	 2.21917505 	 5.22707494999999 	-1.17804585 	 8.62429585 	 2.80954172 	-0.587679179999998 			-0.590366670000001 	 0.36887836 	 2.44066336 	 2.21082495 	 2.44066336 	 1.33066336 	-1.33066336 
Ru_pv	-2.47192349 	-13.91252581 	-10.16623272 	-18.5579633 	-21.9513438 	-0.60922232 	-0.24805923 	 2.19159018999999 	 5.25465981 	-1.20179031 	 8.64804030999999 	 2.80081250999999 	-0.592567990000002 			-0.60922232 	 0.36116309 	 2.43964941999999 	 2.23840981000001 	 2.43964941999999 	 1.32964941999999 	-1.32964941999999 
Ru_sv	-2.53234891 	-13.98792968 	-10.26308926 	-18.64549104 	-21.95868546 	-0.624200770000001 	-0.28449035 	 2.16448786999999 	 5.28176213 	-1.14870655 	 8.59495655 	 2.78868864 	-0.524505780000001 			-0.624200770000001 	 0.339710420000001 	 2.44897821999999 	 2.26551213000001 	 2.44897821999999 	 1.33897821999999 	-1.33897821999999 
Sb	-1.43056389 	-12.66507275 	-8.20375464 	-16.68384187 	-16.71047164 	-0.40312886 	 0.673059249999999 	 3.02435202 	 4.42189797999999 	 2.99772224999999 	 4.44852775 	 3.42748088 	 3.40085110999999 			-0.40312886 	 1.07618811 	 2.35129277 	 1.40564798 	 2.35129277 	 1.24129277 	-1.24129277 
Sc_sv	-2.03360444 	-15.30082001 	-11.83981473 	-24.53773971 	-24.5365007 	-2.43583557 	-2.35996029 	-4.22650527 	 11.67275527 	-4.22526626 	 11.67151626 	-1.79066969999999 	-1.78943068999999 			-2.43583557 	 0.07587528 	-1.86654498 	 8.65650527 	 8.65650527 	 7.54650527 	-7.54650527 
Sn	-0.66982848 	-12.59178532 	-8.78861215 	-16.72955033 	-16.72825849 	-1.09057684 	-0.672533670000001 	 2.21790814999999 	 5.22834185 	 2.21919998999999 	 5.22705001 	 3.30848499 	 3.30977682999999 			-1.09057684 	 0.418043169999999 	 2.89044181999999 	 2.21209185000001 	 2.89044181999999 	 1.78044181999999 	-1.78044181999999 
Sn_d	-0.69953824 	-12.60117698 	-8.77777902 	-16.73625494 	-16.73612864 	-1.07025873999999 	-0.63199078 	 2.24091329999999 	 5.20533669999999 	 2.24103959999999 	 5.2052104 	 3.31117203999999 	 3.31129833999999 			-1.07025873999999 	 0.43826795999999 	 2.87290407999999 	 2.18908670000001 	 2.87290407999999 	 1.76290407999999 	-1.76290407999999 
Sr_sv	-0.02824548 	-12.14151225 	-6.90756704 	-16.32773983 	-16.3267235 	-1.28188676999999 	 0.566928439999999 	 1.97813564999999 	 5.46811434999999 	 1.97915197999999 	 5.46709802 	 3.26002241999999 	 3.26103874999999 			-1.28188676999999 	 1.84881520999999 	 1.41120720999999 	 2.45186435000001 	 2.45186435000001 	 1.34186435000001 	-1.34186435000001 
Ta	-3.48648604 	-16.77858366 	-14.32785305 	-27.55735956 	-27.55772695 	-2.46071762 	-3.39511701 	-5.79324352 	 13.23949352 	-5.79361091 	 13.23986091 	-3.3325259 	-3.33289329 			-2.46071762 	-0.93439939 	-2.39812651 	 10.22324352 	 10.22324352 	 9.11324352 	-9.11324352 
Tc_pv	-3.35116709 	-15.11314057 	-11.65173518 	-24.1626306 	-23.79582244 	-0.93059348 	-0.854318089999999 	-2.53383351 	 9.98008351 	-2.16702534999999 	 9.61327534999999 	-1.60324003 	-1.23643186999999 			-0.93059348 	 7.62753900000009E-02 	-1.67951542 	 6.96383351 	 6.96383351 	 5.85383351 	-5.85383351 
Ti	-2.45024592 	-15.32490217 	-12.05940326 	-24.88439724 	-24.88390169 	-2.04327625 	-2.16290734 	-4.15652131999999 	 11.6027713199999 	-4.15602576999999 	 11.6022757699999 	-2.11324506999999 	-2.11274951999999 			-2.04327625 	-0.11963109 	-1.99361397999999 	 8.58652131999999 	 8.58652131999999 	 7.47652131999999 	-7.47652131999999 
Ti_pv	-2.51385921 	-15.42419468 	-10.83290592 	-25.2357496 	-25.2355076 	-2.07895547 	-0.872796710000001 	-4.44426039 	 11.89051039 	-4.44401839 	 11.89026839 	-2.36530492 	-2.36506291999999 			-2.07895547 	 1.20615876 	-3.57146368 	 8.87426039 	 8.87426039 	 7.76426039 	-7.76426039 
Ti_sv	-2.39923933 	-15.45705799 	-11.6529202 	-25.32184733 	-25.32091761 	-2.22643865999999 	-1.80743087 	-4.644978 	 12.091228 	-4.64404828 	 12.0902982799999 	-2.41853934 	-2.41760962 			-2.22643865999999 	 0.41900778999999 	-2.83754713 	 9.074978 	 9.074978 	 7.964978 	-7.964978 
V_sv	-3.59549206 	-16.15427024 	-12.17523735 	-25.39552656 	-25.39476805 	-1.72739817999999 	-1.13349529 	-3.5224045 	 10.9686545 	-3.52164598999999 	 10.9678959899999 	-1.79500632 	-1.79424780999999 			-1.72739817999999 	 0.59390288999999 	-2.38890921 	 7.9524045 	 7.9524045 	 6.8424045 	-6.8424045 
W_sv	-4.57143424 	-16.589874 	-14.05800351 	-26.98523415 	-26.9832494 	-1.18705975999999 	-2.04031927 	-4.13616991 	 11.5824199099999 	-4.13418515999999 	 11.5804351599999 	-2.94911015 	-2.94712539999999 			-1.18705975999999 	-0.85325951000001 	-2.09585064 	 8.56616991 	 8.56616991 	 7.45616991 	-7.45616991 
Y_sv	-2.1575338 	-15.87890877 	-12.0743125 	-24.60266594 	-24.60246306 	-2.88999497 	-2.4705287 	-4.16750214 	 11.61375214 	-4.16729926 	 11.61354926 	-1.27750717 	-1.27730429 			-2.88999497 	 0.41946627 	-1.69697344 	 8.59750214 	 8.59750214 	 7.48750214 	-7.48750214 
Zn	-0.01074643 	-9.73769838 	-3.81365408 	-13.72136236 	-13.87035609 	 1.10442804999999 	 3.64334234999999 	 4.56701406999999 	 2.87923593 	 4.41802033999999 	 3.02822966 	 3.46258601999999 	 3.31359228999999 			 1.10442804999999 	 2.5389143 	 0.92367172 	-0.13701406999999 	 2.5389143 	 1.4289143 	-1.4289143 
Zr_sv	-2.24452732 	-15.6875042 	-12.86056932 	-26.08960313 	-26.08977285 	-2.61159688 	-3.169792 	-5.56744581 	 13.01369581 	-5.56761553 	 13.01386553 	-2.95584893 	-2.95601865 			-2.61159688 	-0.55819512 	-2.39765381 	 9.99744581 	 9.99744581 	 8.88744581 	-8.88744581 
